DT + 1698694186510;LT55.5568488;LG37.6051545;PB986.2085;SP0.370977;AZ: -28.928492
DT + 1698694187476;LT55.5567976;LG37.6053024;PB986.2007;SP0.088736735AZ: -28.458448
DT + 1698694188453;LT55.5567979;LG37.6053116;PB986.229;SP0.12888335AZ: -28.280794
DT + 1698694189422;LT55.5568046;LG37.6053087;PB986.1616;SP0.4431619AZ: -29.593666
DT + 1698694190412;LT55.5568059;LG37.6052946;PB986.1958;SP0.89202625AZ: -18.754278
DT + 1698694191433;LT55.5568039;LG37.6052658;PB986.1797;SP2.1888375AZ: -23.54761
DT + 1698694192444;LT55.5567901;LG37.6052358;PB986.10547;SP3.340077AZ: -23.64831
DT + 1698694193436;LT55.5567629;LG37.6052154;PB986.2339;SP4.79408AZ: -29.003527
DT + 1698694194455;LT55.5567179;LG37.6052115;PB986.1367;SP6.148117AZ: -22.321266
DT + 1698694195445;LT55.5566574;LG37.6052172;PB986.1035;SP7.745187AZ: -33.42522
DT + 1698694196431;LT55.5565806;LG37.6052326;PB986.0576;SP9.301471AZ: -24.948349
DT + 1698694197446;LT55.5564854;LG37.6052618;PB986.0659;SP11.324695AZ: -27.173283
DT + 1698694198448;LT55.5563702;LG37.605308;PB986.062;SP12.905646AZ: -38.25553
DT + 1698694199441;LT55.5562483;LG37.6053612;PB986.03467;SP13.125997AZ: -29.683062
DT + 1698694200453;LT55.5561284;LG37.605419;PB986.0669;SP13.34467AZ: -10.23
DT + 1698694201457;LT55.5560123;LG37.6054784;PB986.04346;SP12.952678AZ: -7.608754
DT + 1698694202445;LT55.5559024;LG37.6055371;PB985.91846;SP12.509127AZ: -21.211355
DT + 1698694203446;LT55.5557963;LG37.6055979;PB985.96045;SP12.513198AZ: -6.54897
DT + 1698694204453;LT55.5556872;LG37.6056564;PB985.96826;SP12.648886AZ: 5.151781
DT + 1698694205445;LT55.5555751;LG37.6057066;PB985.8921;SP12.871846AZ: 3.6246006
DT + 1698694206446;LT55.5554612;LG37.6057405;PB985.8457;SP12.902477AZ: 3.2068918
DT + 1698694207446;LT55.5553446;LG37.6057592;PB985.8301;SP13.918335AZ: 3.4070547
DT + 1698694208450;LT55.55522;LG37.6057686;PB985.8081;SP14.573472AZ: 10.068727
